country,admin1,admin2,admin3,time,time_precision,total_births,average_births_per_1km
Ethiopia,Amhara,Semen Wello,Habru,2015-01-01T00:00:00,year,8306.386757433414,5.146460196674978
Ethiopia,Amhara,Semen Wello,Kobo,2015-01-01T00:00:00,year,9098.55557692796,3.9201014980301423
Ethiopia,Amhara,Semen Wello,Lasta,2015-01-01T00:00:00,year,3157.169006884098,2.4417393711400606
Ethiopia,Amhara,Semen Wello,Meket,2015-01-01T00:00:00,year,9454.349459052086,4.170423228518785
Ethiopia,Amhara,Semen Wello,Wadla,2015-01-01T00:00:00,year,4570.10061109066,4.579259129349359
Ethiopia,Amhara,Wag Himra,Abergele,2015-01-01T00:00:00,year,2244.5017614364624,1.2428027471962693
Ethiopia,Amhara,Wag Himra,Dehana,2015-01-01T00:00:00,year,4173.922600120306,2.062214723379598
Ethiopia,Amhara,Wag Himra,Gaz Gibla,2015-01-01T00:00:00,year,2231.7439571619034,1.9662942353849369
Ethiopia,Amhara,Wag Himra,Sahla,2015-01-01T00:00:00,year,662.5804093927145,0.4794358968109367
Ethiopia,Amhara,Wag Himra,Sekota,2015-01-01T00:00:00,year,4050.9654422700405,1.7371206870797773
Ethiopia,Amhara,Wag Himra,Ziquala,2015-01-01T00:00:00,year,1374.751305744052,0.6775511610369896
Ethiopia,Benshangul-Gumaz,Asosa,Assosa,2015-01-01T00:00:00,year,5935.879572927952,1.699364320906943
Ethiopia,Benshangul-Gumaz,Asosa,Bambasi,2015-01-01T00:00:00,year,2439.2880954146385,1.5448309660637356
Ethiopia,Benshangul-Gumaz,Asosa,Bilidigilu,2015-01-01T00:00:00,year,1829.8375588655472,0.9610491380596361
Ethiopia,Benshangul-Gumaz,Asosa,Homosha,2015-01-01T00:00:00,year,557.6772324740887,0.7536178817217415
Ethiopia,Benshangul-Gumaz,Asosa,Kurmuk,2015-01-01T00:00:00,year,602.380374006927,0.40811678455753864
Ethiopia,Benshangul-Gumaz,Asosa,Maokomo Special,2015-01-01T00:00:00,year,3491.1731330156326,0.989842113131736
Ethiopia,Benshangul-Gumaz,Asosa,Menge,2015-01-01T00:00:00,year,1915.1359503418207,1.0569182948906295
Ethiopia,Benshangul-Gumaz,Asosa,Sherkole,2015-01-01T00:00:00,year,722.3371428847313,0.29689155071300094
Ethiopia,Benshangul-Gumaz,Kemashi,Agalometi,2015-01-01T00:00:00,year,1209.8225483000278,0.5830470112289291
